constituencyId,constituencyName,prefix,firstName,lastName,partyName,partyAbbreviation,isHonourable,isDoctor,isCounsel,profileUrl,imagePath,imageDescription
69,Surrey-Panorama,Mr.,Bryan,Tepper,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Tepper-Bryan,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Bryan Portrait 1 (2).jpg,MLA Bryan Tepper
71,Surrey-White Rock,Mr.,Trevor,Halford,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Halford-Trevor,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Halford-Trevor.jpg,MLA Trevor Halford
74,Vancouver-Fraserview,Mr.,George,Chow,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Chow-George,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chow-George.jpg,MLA George Chow
75,Vancouver-Hastings,Ms.,Niki,Sharma,British Columbia New Democratic Party,BC NDP,True,False,True,https://www.leg.bc.ca/members/43rd-Parliament/Sharma-Niki,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Sharma-Niki.jpg,MLA Niki Sharma
76,Vancouver-Kensington,Ms.,Mable,Elmore,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Elmore-Mable,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Elmore-Mable.jpg,MLA Mable Elmore
78,Vancouver-Langara,Ms.,Sunita,Dhir,British Columbia New Democratic Party,BC NDP,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Dhir-Sunita,"https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Dhir, Sunita.JPG",MLA Sunita Dhir
80,Vancouver-Point Grey,Hon.,David,Eby,British Columbia New Democratic Party,BC NDP,True,False,True,https://www.leg.bc.ca/members/43rd-Parliament/Eby-David,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Eby-David.jpg,MLA David Eby
81,Vancouver-Quilchena,Ms.,Dallas,Brodie,Independent,Independent,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Brodie-Dallas,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Brodie-Dallas.png,MLA Dallas Brodie
82,Vancouver-West End,Mr.,Spencer,Chandra Herbert,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Chandra%20Herbert-Spencer,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Chandra-Herbert-Spencer.jpg,MLA Spencer Chandra Herbert
84,Victoria-Beacon Hill,Ms.,Grace,Lore,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Lore-Grace,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Lore-Grace.jpg,MLA Grace Lore
85,Victoria-Swan Lake,Ms.,Nina,Krieger,British Columbia New Democratic Party,BC NDP,True,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Krieger-Nina,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Krieger-Nina.jpg,MLA Nina Krieger
86,West Vancouver-Capilano,Ms.,Lynne,Block,Conservative Party of British Columbia,Conservative Party of British Columbia,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Block-Lynne,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/LBlock-Headshot-Preferred (1).jpg,MLA Lynne Block
87,West Vancouver-Sea to Sky,Mr.,Jeremy,Valeriote,British Columbia Green Party,BC Green Party,False,False,False,https://www.leg.bc.ca/members/43rd-Parliament/Valeriote-Jeremy,https://lims.leg.bc.ca/public/images/mla-headshots/43/small/Valeriote-Jeremy.jpg,MLA Jeremy Valeriote
